Site #,Site Status,Site Activation Date,State,Country
43979,Selected,,CO,USA
43979,Selected,,CO,USA
43979,Selected,,CO,USA
43979,Selected,,CO,USA
43977,Selected,,TX,USA
43977,Selected,,TX,USA
43977,Selected,,TX,USA
43974,Selected,,NV,USA
43974,Selected,,NV,USA
43974,Selected,,NV,USA
43974,Selected,,NV,USA
43974,Selected,,NV,USA
43973,Selected,,FL,USA
43973,Selected,,FL,USA
43973,Selected,,FL,USA
43973,Selected,,FL,USA
43972,Selected,,NY,USA
43972,Selected,,NY,USA
43972,Selected,,NY,USA
43971,Selected,,AL,USA
43971,Selected,,AL,USA
43971,Selected,,AL,USA
43970,Selected,,CA,USA
43970,Selected,,CA,USA
43970,Selected,,CA,USA
43969,Selected,,CA,USA
43969,Selected,,CA,USA
43969,Selected,,CA,USA
43968,Selected,,NY,USA
43968,Selected,,NY,USA
43968,Selected,,NY,USA
43968,Selected,,NY,USA
43967,Initiated,31-Jul-2017,CO,USA
43967,Initiated,31-Jul-2017,CO,USA
43967,Initiated,31-Jul-2017,CO,USA
43967,Initiated,31-Jul-2017,CO,USA
43966,Selected,,CA,USA
43966,Selected,,CA,USA
43964,Selected,,PA,USA
43964,Selected,,PA,USA
43964,Selected,,PA,USA
43964,Selected,,PA,USA
43964,Selected,,PA,USA
43964,Selected,,PA,USA
43962,Selected,,CA,USA
43962,Selected,,CA,USA
43962,Selected,,CA,USA
43961,Selected,,TX,USA
43961,Selected,,TX,USA
43961,Selected,,TX,USA
43961,Selected,,TX,USA
43961,Selected,,TX,USA
43961,Selected,,TX,USA
43961,Selected,,TX,USA
43960,Selected,,GA,USA
43960,Selected,,GA,USA
43960,Selected,,GA,USA
43959,Selected,,MN,USA
43959,Selected,,MN,USA
43959,Selected,,MN,USA
43959,Selected,,MN,USA
43959,Selected,,MN,USA
43959,Selected,,MN,USA
43957,Selected,,MD,USA
43957,Selected,,MD,USA
43957,Selected,,MD,USA
43956,Enrolling,18-May-2017,SC,USA
43956,Enrolling,18-May-2017,SC,USA
43956,Enrolling,18-May-2017,SC,USA
43956,Enrolling,18-May-2017,SC,USA
43954,Selected,,NC,USA
43954,Selected,,NC,USA
43954,Selected,,NC,USA
43953,Selected,,KY,USA
43953,Selected,,KY,USA
43953,Selected,,KY,USA
43953,Selected,,KY,USA
43952,Enrolling,06-Apr-2017,IL,USA
43952,Enrolling,06-Apr-2017,IL,USA
43952,Enrolling,06-Apr-2017,IL,USA
43952,Enrolling,06-Apr-2017,IL,USA
43951,Selected,,AL,USA
43951,Selected,,AL,USA
43951,Selected,,AL,USA
43950,Selected,,SC,USA
43950,Selected,,SC,USA
43950,Selected,,SC,USA
43950,Selected,,SC,USA
43949,Selected,,NC,USA
43949,Selected,,NC,USA
43949,Selected,,NC,USA
43948,Selected,,FL,USA
43948,Selected,,FL,USA
43948,Selected,,FL,USA
43947,Enrolling,10-Apr-2017,FL,USA
43947,Enrolling,10-Apr-2017,FL,USA
43947,Enrolling,10-Apr-2017,FL,USA
43946,Selected,,WI,USA
43946,Selected,,WI,USA
43945,Initiated,12-Apr-2017,FL,USA
43945,Initiated,12-Apr-2017,FL,USA
43945,Initiated,12-Apr-2017,FL,USA
43945,Initiated,12-Apr-2017,FL,USA
43945,Initiated,12-Apr-2017,FL,USA
43944,Selected,,TX,USA
43944,Selected,,TX,USA
43944,Selected,,TX,USA
43944,Selected,,TX,USA
43943,Selected,,WI,USA
43943,Selected,,WI,USA
43940,Initiated,30-Aug-2017,NJ,USA
43940,Initiated,30-Aug-2017,NJ,USA
43940,Initiated,30-Aug-2017,NJ,USA
43940,Initiated,30-Aug-2017,NJ,USA
43939,Selected,,TN,USA
43939,Selected,,TN,USA
43938,Enrolling,15-Jun-2017,IL,USA
43938,Enrolling,15-Jun-2017,IL,USA
43938,Enrolling,15-Jun-2017,IL,USA
43938,Enrolling,15-Jun-2017,IL,USA
43938,Enrolling,15-Jun-2017,IL,USA
43938,Enrolling,15-Jun-2017,IL,USA
43938,Enrolling,15-Jun-2017,IL,USA
43938,Enrolling,15-Jun-2017,IL,USA
43937,Selected,,AR,USA
43937,Selected,,AR,USA
43937,Selected,,AR,USA
43937,Selected,,AR,USA
